title,url,video_id,tier,top
"Ariana Grande & Miley Cyrus & Lana Del Rey - Don't Call Me Angel",https://www.youtube.com/watch?v=KUHFQ7zCYlw,KUHFQ7zCYlw,Diamond,0
"Ariana Grande & Social House - Boyfriend",https://www.youtube.com/watch?v=OiC1KMy07Is,OiC1KMy07Is,Diamond,0
"Ariana Grande & The Weeknd - Off the table",https://www.youtube.com/watch?v=UcECLvPNyME,UcECLvPNyME,Diamond,0
"Arizona Zervas - Roxanne",https://www.youtube.com/watch?v=uD_4a6GsuOg,uD_4a6GsuOg,Diamond,0
"ArrDee - Oliver Twist",https://www.youtube.com/watch?v=z4QoxR9VXi0,z4QoxR9VXi0,Diamond,0
"Aya Nakamura - 40%",https://www.youtube.com/watch?v=qgQdzfy40XA,qgQdzfy40XA,Diamond,0
"Baby Keem - Issues",https://www.youtube.com/watch?v=j726YiIC3WM,j726YiIC3WM,Diamond,0
"Baby Keem, Kendrick Lamar - Family Ties",https://www.youtube.com/watch?v=ZYCC6E5srto,ZYCC6E5srto,Diamond,10
"BabySantana & KA$HDAMI - 14",https://www.youtube.com/watch?v=7hHkozAn2pg,7hHkozAn2pg,Diamond,0
"Bad Bunny - Haciendo Que Me Amas 2020",https://www.youtube.com/watch?v=sAutj83a-Co,sAutj83a-Co,Diamond,0
"Bad Bunny - Quien Tu Eres",https://www.youtube.com/watch?v=_faaYJZrRW4,_faaYJZrRW4,Diamond,0
"Banger Type Beat - March",https://www.youtube.com/watch?v=DMnMUHrJmfs,DMnMUHrJmfs,Diamond,0
"Bas - The Jackie ft. J. Cole & Lil Tjay",https://www.youtube.com/watch?v=HEPg7TfNGZY,hEPg7TfNGZY,Diamond,0
"Bass Trap Type Beat - Earbleed",https://www.youtube.com/watch?v=0R3fvvuep58,0R3fvvuep58,Diamond,0
"Bebe Rex - Baby, I'm Jealous ft. Doja Cat",https://www.youtube.com/watch?v=M_KlAKFREcI,M_KlAKFREcI,Diamond,0
"Becky G - Mala Santa",https://www.youtube.com/watch?v=9jc6GjQ-7bo,9jc6GjQ-7bo,Diamond,0
"Becky G - NO TE PERTENEZCO",https://www.youtube.com/watch?v=bwSs7X-cSIk,bwSs7X-cSIk,Diamond,0
"Bella Poarch - Build a B*tch",https://www.youtube.com/watch?v=lwgQkwy9HqE,lwgQkwy9HqE,Diamond,0
"Belly - Requiem ft. NAV",https://www.youtube.com/watch?v=00X89oUv4Cs,00X89oUv4Cs,Diamond,0
"Belly, The Weeknd - Die For It ft. Nas",https://www.youtube.com/watch?v=VclcIgd8L40,VclcIgd8L40,Diamond,0
"Beyonce ft. Shatta Wale & Major Lazer - Already",https://www.youtube.com/watch?v=r3TZwJR91Ig,r3TZwJR91Ig,Diamond,0
"Bhad Bhabie - Babyface Savage ft Tory Lanez",https://www.youtube.com/watch?v=s1MnF73fR8s,s1MnF73fR8s,Diamond,0
"Bhad Bhabie - Ms. Whitman",https://www.youtube.com/watch?v=V0JGhvN88pI,V0JGhvN88pI,Diamond,0
"Bhad Bhabie - OG CRASHOUT",https://www.youtube.com/watch?v=bmoJV3xidPU,bmoJV3xidPU,Diamond,0
"Big Scarr - Joe Dirt",https://www.youtube.com/watch?v=C8-dHM6R5lY,C8-dHM6R5lY,Diamond,0
"Big Scarr - Toe Tag ft. Key Glock",https://www.youtube.com/watch?v=akGvb9STRxA,akGvb9STRxA,Diamond,0
"Big Sean - Body Language ft. Jhene Aiko & Ty Dolla $ign",https://www.youtube.com/watch?v=TBAHOowLelk,TBAHOowLelk,Diamond,0
"Big Sean - Deep Reverence ft. Nipsey Hussle",https://www.youtube.com/watch?v=6BRo1t9b6u4,6BRo1t9b6u4,Diamond,0
"Big Sean - Lithuania ft. Travis Scott",https://www.youtube.com/watch?v=j1cmt04C_KU,j1cmt04C_KU,Diamond,0
"Big Sean - Single Again",https://www.youtube.com/watch?v=BmI9QjC8EE8,BmI9QjC8EE8,Diamond,0
"BigWalkDog - Son Of A Gun",https://www.youtube.com/watch?v=5gQI2XlQMk8,5gQI2XlQMk8,Diamond,0
"BigWalkDog - Whole Lotta Ice ft. Lil Baby & Pooh Shiesty",https://www.youtube.com/watch?v=hwFUYRWTUGI,hwFUYRWTUGI,Diamond,0
"Billie Eilish - Bad guy",https://www.youtube.com/watch?v=6r1uve0NMXE,6r1uve0NMXE,Diamond,0
"Billie Eilish - Everything I wanted",https://www.youtube.com/watch?v=43d7hS9htH0,43d7hS9htH0,Diamond,0
"Billie Eilish - Lost Cause",https://www.youtube.com/watch?v=6sW1jrbgujA,6sW1jrbgujA,Diamond,0
"Billie Eilish - My Future",https://www.youtube.com/watch?v=EaRiVFjvE9o,EaRiVFjvE9o,Diamond,0
"Billie Eilish - No Time To Die",https://www.youtube.com/watch?v=969xqlMvTg0,969xqlMvTg0,Diamond,0
"Billie Eilish - Therefore I Am",https://www.youtube.com/watch?v=Pr1jcUWt5mI,Pr1jcUWt5mI,Diamond,0
"Birdman, Roddy Ricch, Lil Wayne - STUNNAMAN",https://www.youtube.com/watch?v=b-gSzCIGk5Y,b-gSzCIGk5Y,Diamond,0
"Blac Youngsta - I'm Assuming",https://www.youtube.com/watch?v=5rmtD3LDQuo,5rmtD3LDQuo,Diamond,0
"Blac Youngsta - Pretty Dime",https://www.youtube.com/watch?v=uzskfj6_Sko,uzskfj6_Sko,Diamond,0
"BLACKPINK - Lovesick Girls",https://www.youtube.com/watch?v=0ob0Inq_Y_0,0ob0Inq_Y_0,Diamond,0
"Blueface - Baby Momma Drama",https://www.youtube.com/watch?v=u_9Vsnw-IIA,u_9Vsnw-IIA,Diamond,0
"Blueface - Bussdown ft Offset",https://www.youtube.com/watch?v=H1z-OS5jtps,h1z-OS5jtps,Diamond,0
"Blueface - Dear Rock ft. ChriseanRock",https://www.youtube.com/watch?v=t8imjb-1gQ4,t8imjb-1gQ4,Diamond,0
"Blueface - Hello",https://www.youtube.com/watch?v=Gnk39I3VG9M,Gnk39I3VG9M,Diamond,0
"Blueface & Blxst - Chose Me",https://www.youtube.com/watch?v=w3qsYV2oelY,w3qsYV2oelY,Diamond,0
"Blueface & DaBaby - Obama",https://www.youtube.com/watch?v=9a_77-AmRBk,9a_77-AmRBk,Diamond,0
"Blueface & NLE Choppa - Holy Moly",https://www.youtube.com/watch?v=dU6WDrKnQnY,dU6WDrKnQnY,Diamond,0
"Brent Faiyaz & Drake - Wasting Time",https://www.youtube.com/watch?v=VqYj_tqHMOc,VqYj_tqHMOc,Diamond,12
"BRS Kash - Throat Baby ft. DaBaby & City Girls",https://www.youtube.com/watch?v=_O18BMT4cXU,_O18BMT4cXU,Diamond,0
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open",https://www.youtube.com/watch?v=jE_fL2P4Vy4,jE_fL2P4Vy4,Diamond,0
"Bruno Mars, Anderson .Paak, Silk Sonic - Smokin Out The Window",https://www.youtube.com/watch?v=VYp-nxha4F0,VYp-nxha4F0,Diamond,0
"Bryson Tiller - Always Forever",https://www.youtube.com/watch?v=yKFriGQZ0lQ,yKFriGQZ0lQ,Diamond,0
"Bryson Tiller - Don't",https://www.youtube.com/watch?v=Uv5Xu6ONx2I,Uv5Xu6ONx2I,Diamond,16
